Name,RatingValue,DatePublished,Review,Sentiment
Noodle King,3,2018-02-21,"I love eating here on my comfort food/cheat days.

They have classic Hong Kong style soup noodles and bbq rice dish.  The noodles are made to order.  They have rice noodles, thick noodles, egg noodles to choose from.  Toppings include beef balls, fish balls, bbq pork, shrimp wonton, prom wonton, chicken, lemongrass chicken, beef stew, and others.  Better yet you can pick and choose.  You can get additional toppings like half size wonton, tofu, or beef sauce to add-on.  You can also pick just broccoli or bak choy.

You can pick rice dish too.

There is vegetarian options.

Their soy bean drink is small but tasty.

Staff is nice and friendly.

Line is long but service is fast.",1
Kit Kat Italian Bar & Grill,3,2019-05-29,"I did not choose this place myself, but a friend had reservations for our group of friends on a Saturday night. Waited about 20 minutes to be seated. It is a pretty cozy place and very packed, but I assumed that meant it was delicious too! I thought the food was much too overpriced for the portions. I chose the angel hair pasta and it just tasted like something you whip up at home for a quick meal. I admit I should have just chosen something else with more flavor, but the prices were stopping me. 
I did really enjoy the calamari salad though. It was flavorful and perfectly grilled. Delicious. 
I have to note that it was super chilly inside to the point where my teeth were chattering at the end of our meal. 
I would like to come back to try a different dish though!",1
Sichuan Garden Restaurant,3,2018-11-10,"It looks really sketchy outside but don't like it scare u away, cuz the food is pretty good! Let's talk about the 4 dishes we ordered:

1. Dan dan noodles. Okay I'm pretty sure it is not the authentic dan dan noodles but the way they presented it was pretty smart. All the spicy sauce is on the bottom of the bowl because if u can't take that much spicy then u don't have to stir all into the noodles. But other than that no comments.
2. Chicken dry pot. We ordered this because other three plate wasn't enough. It came on a stove and a pot, it tastes amazing but the fire down the stove is just really concerning I wish they could use some protection around it.
3. Spicy beef. ITS SO GOOD and SO SPICY. I freakin loved it!! I'm not joking about the spicy level of this dish so if u can't really take real spicy u need to bring ice milk with u. Also u need to try the numbing pepper that Sichuan cuisine has, it will numb ur tongue and it is such a cool sensation.
4. Double cooked pork belly. It's extremely salty, like super duper salty. We had to order rice to eat this. 

The service: the waiters and waitresses hang around but they r really slow at services.",1
Levetto,3,2020-05-20,"Freshly made, high quality ingredients. However for me, it was made with too much pepper and it was lacking flavour and creaminess. If an egg yolk was used, I could not taste it. I usually love carbonara, but I would not order this again.",1
Hacienda las Américas,2,2019-01-04,"I really want to write a nicer review for this place because the food is amazing. And $2.50 fish tacos cannot be beat. The sign advertising said fish tacos is what reeled us in. 

But the service was just abysmal. 

My husband and I were eating around Toronto, so we were ordering small plates everywhere we went so we could get the best of all worlds. We ordered their three for $10 tacos (chicken, pork, and beef) and an extra fish taco for $2.50. All the tacos were amazing, the pork being our favourite and the beef, although good, was our least favourite (it was a bit dry). However, the server seemed annoyed that the two of us were ordering so little. We weren't offered side plates to share the tacos, so they were dripping everywhere and we struggled not to make a mess. We were never offered any water and their sauces were very spicy. Thankfully we had our own. And the thing that irked me most was that we were overcharged $1.50 for our tacos. They write the receipts by hand and were originally charged $10 for the three tacos, but they scratched that out and wrote $11.50. Not a huge deal. I asked why we were overcharged and the server said it's because we mixed and matched our tacos. She was kind of rude when I asked. But all the other reviews seem like it's $10 for three tacos regardless of mixing them up. I think they were mad we took up a table and tried to make it up in other ways. I couldn't care less about $1.50, but I don't like shady business practices.",0
House of Gourmet,3,2019-07-22,"(SKIPTHEDISHES Delivery Review)

My friend and I decided to order delivery on a Saturday morning. 
They have a HUGE menu and it was actually a little confusing for indecisive me to find something I could decide on.

We ended up getting:
1. Pork & Preserved Egg Congee: My friend really enjoyed this
2. Minced Beef Congee: The congee came to my apartment HOT (yay) and it was really well made in my opinion. There was a good amount of beef and I liked the amount of ginger in there to give it extra flavor (and it makes me feel 'healthier'
3. Dough Sticks: These were still warm when it arrived. Fairly standard but still a positive that it made it to the apartment without being soggy
4. Rice rolls with Shrimp & Soy Sauce: Never ordering these again. The shrimp didn't seem like it was fresh. The rice rolls were really chewy and plasticky instead of being soft and silky. For $7 the portions were TINY. 

For those 4 very basic things it came to about $27 (not including delivery charge).

I used to come here when I was really little with my grandma as her temple is right next door. I'd come back just to see how it compares in person.",1
Enoteca Sociale,3,2019-05-09,"Enoteca is a nice spot with great drinks and great vibe to grab a bite and hang out with friends. I've driven by Enoteca a number of times and finally had the time to go check this place out. Located just west of Dundas and Dovercourt, you can't miss the massive doors. 

Service was great from start to finish, attentive and overall a good experience. However, the food was decent at best. The Cacio e Pepe was on the saltier side, so be ready for that. It was very rich in flavour, a pinch less of salt and this would be been wonderful. The charcuterie board was decent, although I must say that the cheese was really good. 

Best dish of the night goes to the arancini balls. Really nice and crispy on the outside, stringy and warm cheese on the inside. Drench it in the tomato sauce, you won't regret it.",1
Artisan Plus,3,2019-09-14,"Overall, an OK noodle spot. Interesting to try out but not a must-try. 

I ordered the Famous YoPo Biang Biang Mian (which the waitress mentioned was their most popular dish) and the Shuan Tofu Sheets:

Biang Biang Mian: The plate is quite large so if you're hungry this is the dish to order. The noodles were pretty tasty/chewy and the beef tasted good but the rest of the plate didn't really stand out and was loaded with vegetables (see picture).

Shuan Tofu Sheets: Again, another OK dish but wasn't amazing. While the flavor is there from the peanut and sesame sauce, the texture of the tofu was off-putting after a few strands. We didn't finish the dish. 

If you're looking for spicy noodles, give this restaurant a try. Otherwise, tons more noodle places to eat around Yonge-Dundas.",1
El Nahual Tacos,3,2018-06-12,"Stumbled upon this restaurant while searching for lunch before heading to Yorkdale. The restaurant is quite small, more of a takeout joint and seats about 6 people. The restaurant is very hot and humid and there was only one fan facing the window. There is free street parking (depending on the time), however there is paid parking directly in front of the restaurant.

We ordered the 3 for $12 ( Black Tiger Shrimp, Fish & Carnitas tacos). The food was flavourful, however it didn't hit the spot for me. We also took advantage of the free chips and salsa check in offer.

Overall, nice presentation of the tacos but I wouldn't be going out of my way to come back to satisfy my taco cravings.",1
Artisan Plus,3,2019-09-03,"So much hype we had to stop by and try it out. This place is newish to me located near Dundas and Bay and I've seen it being renovated months ago and thought the interior was really hip and modern looking. This is a noodle place that serves Northern Chinese style, the menu is very simple and don't have too many different things clouding your mind on what to eat. 

We ordered the Artisan Pork Jia Mo, and Shuan Tofu Sheet for starters. The pork Jia Mo is chopped braised pork belly with gravy served in a handcrafted artisan bread, this was not bad but flavour was slightly weak in my opinion. The tofu sheets are made from fresh sheets, this dish is served cold and almost like a salad with shredded peppers, bean sprouts, scallions, chilli, chilli oil, Sichuan pepper corns, and sesame oil. I found that the flavour is good not too much numbing spice and not too spicy but boy it did have tons of oil. 

For mains we ordered their Famous YoPo Biang Mian and the Wok Cumin Che Mian with Spring Lamb. the Biang mian has a lot going on with sauteed tomato, scrambled eggs, cauliflower, potato, carrot, woodear mushrooms, zucchini, edamame beans, paprika, and vinaigrette sitting under all these ingredients are some ribbon noodles which were slightly too long. I thought that this dish was a mixed with way too many things and the flavour got lost way too busy. The Wok Cumin Che Mian with Spring Lamb was better and the lamb wasn't gamy but I wish there was more slices of lamb. This dish I found was a little small for the price. 

Service was great our server was very knowledgeable about their product. She kept our water carafe topped with water. The food comes out very quick and displayed nicely. When it came time to pay the bill was ready and the server came with a debit machine as well. Be prepared to bring cash with you as this place is cash or debit only.

I will be back to try some soup noodles next time. Hopefully it will change my mind and get a better rating.",1
Bang Bang Ice Cream and Bakery,4,2020-01-12,"I can see why bang bang is so popular due to their unique flavours. In the summer sometimes I see lineups around the block! 

I got an ice cream sandwich with Totoro and Lychee Rosewater ice cream. Totoro pretty much tastes like taro milk tea! Lychee rosewater had a tang to it which was refreshing as well. I actually would not recommend and ice cream sandwich though; every time you type to eat it like a normal ice cream sandwich, the ice cream will slide out. So it's best to eat the ice cream and cookies separately. I would go with either ice cream in a cup or in an egg waffle instead (this is a meal in itself though!)",2
Ha Gow Dim Sum House,1,2018-01-14,"Worst Chinese food ever. It's places like this that give Chinese food a bad name. Threw out 75% of our order. 

Ordered what I thought would be staple Cantonese dishes that any decent place would find hard to screw up. Well guess what, Ha Gow managed to do just that. The seafood fried noodles were capital B bland - would it have hurt them to put even one drop of soy sauce? They also used cheap shrimp and squid that had no flavour. We also ordered the fried shrimp with spicy salt. This is honestly the most basic Cantonese dish (equivalent to fries for a Canadian restaurant). Well what came were those cheap shrimps they used for the noodles but smothered in a thick batter (they looked like balls of grease). Each bite oozed with grease and didn't taste like shrimp at all.

The other dishes ordered were equally bad. Seafood dumpling (all it tasted of was MSG), steamed squid in ginger and onion (think rubber bands laced with MSG), and shrimp rolls (no flavour). The spinach & shrimp dumpling was the only thing decent item. 

Avoid, avoid, avoid.",0
El Charro,4,2017-09-19,"Mexican food done right! 

The meat was cooked so well, juicy and flavourful. The caramelized onions added another dimension of great flavour.  We also got guac and chips for $4.50 very good as well. 

To those who complain about waiting for food.. you are only waiting because they are making it fresh. It's not like chipotle where it sits there for what could be hours.

Good prices, good food!",2
Ha Gow Dim Sum House,3,2017-09-30,"Dim sum wasn't bad. I actually preferred this over the downtown China Town dim sum, but markham was better. But if don't feel like a drive thru traffic, not a bad second choice.

Ignore the decor or I think if they rearranged some stuff it would look good. 

Service was attentive but only one server who did everything so be patient. Other reviewers did mention they were out of certain items...which if they were, they should inform us and not have it on the board.

Will go back...",1
Trattoria Taverniti,1,2019-07-12,"Absolutely terrible food and even worse attitude and service. 

Didn't even have a bite of the food",0
House of Gourmet,3,2019-06-26,"Fairly average Chinese food but open late until 2:00 am with lots of seating. They are located a block or so from from Spadina on Dundas.

Their food seems pretty average to me except for their char siu (BBQ Pork) on rice that is my favorite. Everything else is ok but with the exception of great wok hei. If you're looking for a quick bite after a night out this place will do since they open until 2:00 am and has plenty of seating. Their menu is fairly intense about 500 items and with plenty of seating for a big group. 

The food comes out super fast piping hot. Service is ok just need to keep flagging someone down, their table turn over is quick that is the way they operate so don't expect stellar service but they aren't horrible either.",1
Los Guaca-Moles,1,2019-06-01,"II really, really wanted to just love this place and sorry about the loooong review (i am normally not one to have such an extended view) BUT I made two mistakes today:

1) Cancelling my reservation at Playa Cabana ( the last 5:00 pm spot) to go to this restaurant (SMH)
2) The place is supposed to open at 5,like a dumbass I actually waited until 5:20 when they finally decided they felt like opening.

That kind of slackness will get your business shut down in Toronto, with sooooooooooo many good places to go and eat all within blocks who the hell is really gonna stick around and wait for places to open past the time they should be??? ....ohhhhhhhhh the regret folks.   

When I walked in ,there were only two other people seated ( who also decided to sit outside and wait saw them earlier)..hmm wonder if they too had regret, but anyways onto the experience. Walked in and there was a bartender and 1 person sitting at the bar. So we seat ourselves at the front of the restaurant and it literally took the guy behind the bar 10 min. to finally put down some menus, he goes back to the bar chitty chatty with the guy sitting at the bar another 10 min goes by he  comes back to take the order. We order drinks and food (Sabinita-- layers of refried black beans, cheese, sour cream & guacamole, Poblanito -soft tortilla; mole poblano sauce w/shredded chicken breast; garnished w/sesame seeds) and two Pescado- mole poblano sauce w/shredded chicken breast; garnished w/sesame seeds). 

Slowly two of the wait staff make their way in and the guy behind the bar says something in spanish possibly about being late who knows seems to be the trend here, and then another table of patrons come in and than another the wait staff all of two seem confused and dazed. The Sabinita comes to to the table and I ask the waiter if our drinks are coming he says he doesn't know, 5 min later the rest of the order comes out I ask again about the drinks another guy comes over with a menu I said no I ordered them when I first sat down? Repeated the order ( like really the bartender couldn't remember to send out the friggin drinks when at the time there was a total of 4ppl in the place (I could just imagine if there were more than 12 ppl in this place it would be like chaos to remember OMG all these drinks OMG ....seriously its like amateure night in here).

 He comes back minutes later with the drinks, in all fairness not his fault he didn't take the order initially nor was he the  DUH guy that said didn't know when the drinks were coming, and that is the last time we saw anyone come over,no one came by to check on the table to see if everything was good ( which it was NOT) and the place was not busy 4 tables occupied does not constitute as busy.   

 The Poblanito was just ok , the fish tacos were downright dreadful they were breaded in some sort of cornmeal which  was not an issue but the fish they used had a gelatinous texture and honestly there wasn't a dash of seasoning in the coating or the fish itself  not even the toppings were seasoned. IT WAS BLAND  i could barely get through it so so i doused it with hot sauce and still it stank (tastewise) so I only ate the one left the other one on the plate and covered it with my napkin (RIP).

 So now all I have left is half a beer which i'm chugging so I can get the hell outta there!! I indicate to the waiter that we're ready to leave and the bill arrives and he asked how was it ?  I was blunt, honest said it was terrible he was concerned surprised and wanted specifics, so I went off about the fish he said he would go and let the the guy in the back know ,  I said really you don't have to but off he went came back apologised. I said I guess that is just how its done here the only redeeming thing about this whole meal was the Sabinita & the beer.

 Sad to say but  I'm not one to give 2nd chances when it comes to food & service like I said this city is a ""Food Mecca"" too many other places to go and try, so bottom line I would never venture back to this place, I would rather take my $$ and go around the corner to Barrio Coreano or Tacos El Asador where the service and food at least in my experiences have been consistently great .",0
La Carnita,3,2019-07-25,"Came here for the first time by luck, on a Tuesday- had to take advantage of their Taco Tuesday special ($28 for 8 hardshell tacos). 

The service here was friendly but a little slower than normal standards. It is also pretty stuffy inside on a hot day, especially on the top floor, but the restaurant itself is a cute, grungy setup. 

I shared the special with my friend, and it came with the perfect amount of toppings to fill the tacos... it's always so satisfying when you're giving the perfect food ratios. The tacos are presented on a tray along with the (""sides"" is what they call it but I think a better word for it is just the taco stuffings). It came with all your taco essentials, including guac. The ground beef also had a bit of a spicy kick to it, and the taco shells had a different crunch to them. Overall, nothing was mind blowing about the tacos. I think it's fun for when you're coming in a pair with someone else, but you'd need to order more with it to fully fill up an empty stomach (good thing my friend and I had a snack before coming). The tacos were presented nicely but if I were to get this for say, takeout, not sure the deal is worth hyping about. 

I'd be open to coming back to try more of their extravagant tacos though :) judging from their menu the prices seemed reasonable for a downtown restaurant.",1
Trattoria Nervosa,4,2019-12-18,"Their mafalde ai fungi pasta is delicious (although heavy). Their wine selection is pretty good, service is decently quick. It's a great restaurant that brings in a diverse crowd. Although I didn't eat it, their pizza looks good too. Overall, great option to eat Italian in Yorkville!",2
Homemade Ramen,3,2018-10-02,"Pros: quick service, nice staff, great (fresh) ramen noodles 
Cons: dirty table, staff overworked, hard to get a table after lunch still, difficulty finding the best vegetarian/chicken options, some waiters can't communicate in English that well though are super nice and try hard 

Summary: I ordered chicken despite wanting vegetarian but am new to eating more veggie options so I tried to just get the Chicken stir fry. It was all chicken, too much salt and barely any veggies. I wouldn't go out of my way to eat here again but I'd be open to getting a ramen dish. My mom got beef so I couldn't really try it, I only tried the noodles. She loved her beef ramen so maybe that helps someone out there",1
La Vecchia Ristorante,5,2018-11-18,"I went here years ago for winterlicious because of the great reviews. I was so unimpressed and felt like it was like any other restaurant that I vowed never to come back. Fast forward to recently, my friends wanted to catch dinner before a movie and decided on this place. I was hesitant but went anyways and absolutely loved it! We ordered the pizza, a couple of the salads and some cocktails. LOVED all the cocktails....they were strong and didn't taste it, just the way I like it! The pizza was huge, filling and made very well. Chewy and not overwhelming in flavour. The salads were all fantastic! The Parmesan cheese is to die for. Our waiter was also so charming and funny. He really made our night....p.s. dim lit atmosphere with a picture of the godfather. Loved it!",2
KINKA IZAKAYA ORIGINAL,5,2020-05-04,"My friend got the lunch set which includes a don, salad, some takoyaki and kaarage, sashimi, and miso soup. I believe it was around $18 which is an amazing deal for the amount of variety you get! 

I got the kaarage don, which I have raved about so many times before. Kinka consistently serves fresh food that is full of flavour at an amazing price. It's my favourite izakaya and I will continue to go here again and again!",2
