companyName,datePublished,ratingValue,reviewBody
Skype,2024-09-19,N/A,"I've cancelled my monthly subscription in their website two months ago, and they continue with the automatic debit.Also, I've sent 2 (two) emails for this matter, with NO answer. An email yesterday, and another one month ago.DO NOT TRUST IN SKYPE. THIS COMPANY DESERVE TO GO BANKRUPT."
Skype,2024-09-10,1,Skype is the worst telephone service that I've ever used. Microsoft has cut corners by hiring only those with an IQ less than 50 so they're not only unable to provide service --even when you are paying for it--they're barely able to communicate. I am very sympathetic towards the simple but even if Microsoft is only paying meger salaries they are losing because they are unable to hire capable employees who can function. This is been going on for months. Trust pilot only provides space for one date of incompetent experience.
Skype,2024-09-12,1,"You have to purchase different credits for different types of use e.g. domestic international. Take a lifetime.e for the credit to be applied, so you can't use it at the ti.e of purchase.Avoid, use other service providers who ate cheaper and easier to use."
Skype,2024-09-14,N/A,On mobile totally slow speed.. very bad experience on mobile...On desktop also too much issues...like video clip is slow processing..
Skype,2024-09-17,N/A,"They advertise a price of less than 2p per minute, but then charged me 6p for a 17 second phone call. And there seems to be no way to dispute this!"
Skype,2024-09-04,N/A,I have been using Skype for years and while it is not as streamlined as some other platforms I really can't complain. I have to use them for some business and the experience has never been terrible.
Skype,2024-08-14,2,"The phone app is one of the glitchiest out there. I'm paying for 3 services, yet the app OFTEN doesn't work. Unfortunately, tech support normally can't do much because it's the glitchy app--they just say to wait, sometimes several days. I guess it's no surprise--Microsoft doesn't seem to give a rat's rear about their users' experience with their products. I'm going to look for an alternative."
Skype,2024-08-16,1,"Worst unfriendly app ever.> very slow interface (example: when typing phone numbers as free digit is as slow as writing with a quill on an ancient scroll> unclear menus (completely unintuitive to find where the hell is the telephone keypad... which should be the first icon ever in a phone app!)> in iPhone, somehow is retrieving your phone book. but it’s totally messy, giving you back multiple lines with emails, addresses, nicknames etc. and u never find where the hell is the phone number to be called, so in the end u end up in filling it manually> contact list is totally messy. never understand what the order of the contact list is. if it’s by unread messages, or favorites (and not sure how the favorites are pre-classified), or by last call done...> alerts / notifications are not working at all on web and phone versions. For sure i missed all the time alerts for messages, not sure about the calls as i do not receive many on skype (thank God)"
Skype,2024-08-09,N/A,"Skype was charging me nearly $20/month for ""free"" service. They did not respond to repeated email requests to explain the large monthly charges so I canx the autopayments. Perhaps that will get their attention. We'll see."
Skype,2024-07-02,N/A,"I think Skype is one of those apps that is designed to hurt users. It's one of the hardest and most buggy applications I've ever encountered. It's painful from launching the application (which takes a long time regardless of the device) to closing it (phantom Skype has to be manually cleared from memory afterwards). Tech.support is a separate conversation.... Skype, why are you doing this to us?"
Skype,2024-06-26,1,"I've had a bad experience with skype due to signing onto a plan with limited minutes by mistake. When i realised it i did online chat with Skype and expressed that the plan i signed up for is not working for me amd i would be willing to upgrade to an unlimited subscription. I was promised the rep will escalate it and get back to me, but so far no luck!"
Skype,2024-06-27,N/A,"Horrible app, not easy to use, structure like hell, u can not contact them only via X and than u dont know how long to wait for an answer.  Typical american selffish policy!!!!"
Skype,2024-06-13,1,"Skype deleted a video of my last ever conversation with my Dad before he had an accident and died without warning.  I begged them for a restore, they even went a far as giving me some fake ticket number but I went back three times and despite reassurances they'd get back to me they never did."
Skype,2024-04-03,1,"LGBTQ: stop harrassing me and others on Skype for invites to chat! This morning when I jumpstarted my PC, there was an invitation to join this group. I do not want to hear from depraved individuals, leave me alone, you should be sued for breaking into my private page - all of you! Go spread your brand of filth elsewhere!"
Skype,2024-06-30,N/A,I wouldn't even give 1 start for this as they took money out of the account and have not topped out my credit. THE WORST  customer service. It kept saying  average 1 minute and that I am next in line but literally no one responded.
Skype,2024-06-04,N/A,"FREE software that allow you chats, calls, and too much data you can send each other, in windows its very fast for teams to send sms each others, thank you skype"
Skype,2023-10-23,1,"It used to be a really good app, but the moment it became a part of Microsoft everything went wrong. First the interface, which is unbearable, then weird policies like security policy which no-one can understand and lastly user management, where you never know if you are looking in your phone book and looking for a Skype user ...Relatively simple and easy task, isn't it? But Microsoft (again) made it totally wrong - like everything."
Skype,2023-02-07,1,This used to be a well functioning phone app that was a reasonably priced alternative worldwide when other phone services failed.  Now it seems to be a Social Media wannabe that can't place a phone call. You can't even edit a contact entry. If MS wants to get into the Social Media game why didn't you just create an app instead of ruining this one?  Weren't apps your core business?
Skype,2024-04-29,1,I have found Skype good until you have a problem and loose your account. It is impossible to get any useful help on their chat line or through recover your account. Customer support is useless and you loose your credit. I have spent over eight hours trying to resolve this.
